Firm Name,Paid post appeal,Case closed count,Deduction fee,Deduction expense,Billed units fee,Billed expense,Billed fee,Paid fee,Paid expense,Cycle time,L100,L200,L300,L400,L500,Win rate proxy,Cost per case,Fee per unit,Cluster,Cluster_name,state_list,Firm_Profile
"Phillips & Garcia, LLP",12.55187356,5.214935758,7.18718086,4.38614315,7.332918434,8.184123161,9.963560964,9.682330776,7.833231693,7.339661064,1,1,1,1,0,0.755,4.628691381,13.89,2,Outcome Specialists,,#N/A
"Carter, Davis & Partners",14.26837026,4.430816799,8.903826081,7.737031725,9.160861221,9.898540335,11.68410299,11.3468468,9.807332316,7.478084897,1,1,0,1,0,0.714,7.123116627,12.47,3,Efficient Volume Handlers,,#N/A
"Campbell & Kennedy, LLP",13.91476698,5.318119994,9.03870353,6.903154713,9.141437139,9.46830729,11.56956673,11.27045293,9.373432387,6.730791344,1,1,1,0,0,0.741,6.099242139,11.34,3,Efficient Volume Handlers,"['MI', 'MI', 'OK', 'GA', 'OK', 'MA']"," - Claims involve moderate severity with average offers slightly exceeding demands.
 - Soft tissue injuries, particularly neck-related, are common, with some unclassified injuries.
 - High attorney representation and arbitration requests indicate a litigious posture.
 - Claims are complex, involving coverage disputes, multiple vehicles, and extensive documentation.
 - A law firm with expertise in commercial auto claims and strong negotiation skills is ideal."
"Turner, Thompson & Carter, P.C.",11.34203856,4.691347882,8.177296699,6.330130804,7.670740973,9.019383236,10.17885423,10.04716183,8.725205237,6.295874672,1,1,1,0,1,0.877,5.604992915,12.29,2,Outcome Specialists,,#N/A
"Collins, Turner & Partners",10.91009949,4.852030264,8.681612115,7.458549413,8.747955645,9.688650035,10.94583138,10.82802598,9.550233892,7.285924556,0,1,1,0,0,0.889,6.231583203,9.01,3,Efficient Volume Handlers,"['GA', 'LA']"," - Claims involve soft tissue injuries with disputes over medical necessity.
 - High complexity due to unresolved prior claims and multi-party involvement.
 - Extended litigation timelines with extensive documentation and discovery.
 - 100% fault attributed to insured, increasing liability exposure.
 - Best suited for law firms experienced in complex, multi-party litigation and medical dispute resolution."
"Edwards, Lewis & Partners",14.30313455,4.143134726,8.412807756,6.69222021,8.120823593,9.241924307,10.38809034,10.00862744,9.0010048,6.457742495,1,1,1,1,0,0.684,6.194691065,9.66,2,Outcome Specialists,,#N/A
"Taylor & Campbell, LLP",14.54787568,3.63758616,8.603258955,5.609508425,7.974236861,7.614598243,10.5374793,10.33748375,7.509422933,8.51951649,1,0,0,1,1,0.819,6.785079041,12.98,2,Outcome Specialists,,#N/A
"Foster, Nelson & Thompson, P.C.",13.78923616,5.252273428,8.629217455,7.027864496,8.915616229,9.116209896,11.19129922,10.91281406,8.953667183,7.721716453,1,0,1,0,0,0.757,5.800667172,9.74,3,Efficient Volume Handlers,"['MI', 'NJ', 'CT', 'MI']"," - Claims involve low severity with high exposure due to alleged long-term disability.
 - Common injuries include soft tissue damage and lumbar area pain with outpatient care.
 - Litigation posture is complex with extended timelines and multiple negotiation rounds.
 - Claims require high operational intensity due to lien issues and extensive documentation.
 - A law firm with strong negotiation skills and experience in complex litigation is best suited."
"Edwards & Parker, LLP",12.84306965,4.442651256,7.403140308,7.532409463,7.256000795,9.916356886,9.872593199,9.510927811,9.814418606,7.273716967,1,0,1,1,0,0.696,5.939039033,13.7,0,High-Value Core Firms,,#N/A
"Jackson, Scott & Partners",13.63770287,5.017279837,8.417425893,7.605262939,7.744855607,9.525432094,10.33108166,10.00059475,9.227422636,7.290183736,0,0,1,0,1,0.719,5.374027626,13.28,0,High-Value Core Firms,"['MI', 'GA']"," - Claims involve moderate severity with high settlement demands exceeding policy limits.
 - Common injuries include soft tissue damage to the head and neck, with ongoing therapy.
 - Extended negotiation periods are common, with potential exaggeration of injuries and SIU involvement.
 - Claims are operationally intensive, requiring coverage reviews and policy analysis.
 - Firms with strong negotiation skills and experience in complex liability assessments are best suited."
